Individual,Treatment,Food.Level,Date,Day,Body.Length
CH5,Control,High,7/2/24,3,1317.68
CH9,Control,High,7/2/24,3,989.01
CH14,Control,High,7/2/24,3,1249.71
CH20,Control,High,7/2/24,3,1197.5
CH21,Control,High,7/2/24,3,1243.43
CH29,Control,High,7/2/24,3,914.82
CH40,Control,High,7/2/24,3,1108.59
CH39,Control,High,7/2/24,3,1376.98
CH19,Control,High,7/2/24,3,1358.06
CH49,Control,High,7/2/24,3,868.02
CL2,Control,Low,7/2/24,3,1050.14
CL8,Control,Low,7/2/24,3,983.76
CL11,Control,Low,7/2/24,3,1137.26
CL30,Control,Low,7/2/24,3,1106.35
CL18,Control,Low,7/2/24,3,868.14
CL21,Control,Low,7/2/24,3,1138.61
CL31,Control,Low,7/2/24,3,837.55
CL36,Control,Low,7/2/24,3,822.99
CL40,Control,Low,7/2/24,3,949.48
CL37,Control,Low,7/2/24,3,1214.33
CM18,Control,Medium,7/2/24,3,1135.67
CM3,Control,Medium,7/2/24,3,747.03
CM11,Control,Medium,7/2/24,3,1166.76
CM21,Control,Medium,7/2/24,3,1180.26
CM25,Control,Medium,7/2/24,3,1037.52
CM20,Control,Medium,7/2/24,3,680.66
CM36,Control,Medium,7/2/24,3,1088.03
CM38,Control,Medium,7/2/24,3,816.17
CM40,Control,Medium,7/2/24,3,963.99
CM48,Control,Medium,7/2/24,3,1224.41
MH1,MicG,High,7/2/24,3,1238.08
MH6,MicG,High,7/2/24,3,1179.11
MH15,MicG,High,7/2/24,3,1149.82
MH8,MicG,High,7/2/24,3,1130.77
MH24,MicG,High,7/2/24,3,1272.41
MH26,MicG,High,7/2/24,3,1056
MH33,MicG,High,7/2/24,3,1160.88
MH36,MicG,High,7/2/24,3,1277.71
MH41,MicG,High,7/2/24,3,1167.56
MH42,MicG,High,7/2/24,3,794.13
ML4,MicG,Low,7/2/24,3,827.76
ML5,MicG,Low,7/2/24,3,814.74
ML7,MicG,Low,7/2/24,3,769.19
ML16,MicG,Low,7/2/24,3,776.69
ML20,MicG,Low,7/2/24,3,844.06
ML19,MicG,Low,7/2/24,3,957.15
ML34,MicG,Low,7/2/24,3,808.51
ML37,MicG,Low,7/2/24,3,965.1
ML25,MicG,Low,7/2/24,3,835.01
ML31,MicG,Low,7/2/24,3,932.16
MM5,MicG,Medium,7/2/24,3,1028.98
MM1,MicG,Medium,7/2/24,3,746.68
MM13,MicG,Medium,7/2/24,3,787.91
MM19,MicG,Medium,7/2/24,3,762.51
MM30,MicG,Medium,7/2/24,3,1076.49
MM27,MicG,Medium,7/2/24,3,783.03
MM37,MicG,Medium,7/2/24,3,995.25
MM39,MicG,Medium,7/2/24,3,889.02
MM42,MicG,Medium,7/2/24,3,841.6
MM49,MicG,Medium,7/2/24,3,1121.94
CH5,Control,High,7/9/24,10,1546.01
CH9,Control,High,7/9/24,10,1436.72
CH14,Control,High,7/9/24,10,1594.27
CH20,Control,High,7/9/24,10,1563.33
CH21,Control,High,7/9/24,10,1461.96
CH29,Control,High,7/9/24,10,1406.1
CH42,Control,High,7/9/24,10,1316.76
CH39,Control,High,7/9/24,10,1636.76
CH19,Control,High,7/9/24,10,1535.09
CH49,Control,High,7/9/24,10,1323.72
CL4,Control,Low,7/9/24,10,1187.04
CL8,Control,Low,7/9/24,10,1196.14
CL11,Control,Low,7/9/24,10,1292.31
CL30,Control,Low,7/9/24,10,1290.81
CL18,Control,Low,7/9/24,10,1315.45
CL21,Control,Low,7/9/24,10,1360.5
CL31,Control,Low,7/9/24,10,1204.79
CL36,Control,Low,7/9/24,10,1136.95
CL40,Control,Low,7/9/24,10,1299.38
CL37,Control,Low,7/9/24,10,1356.29
CM18,Control,Medium,7/9/24,10,1374.15
CM3,Control,Medium,7/9/24,10,1147.7
