ID,Treatment,Food.Level,Lifespan,Status
CL1,Unexposed,Low,13,1
CL2,Unexposed,Low,13,1
CL3,Unexposed,Low,9,1
CL4,Unexposed,Low,23,1
CL5,Unexposed,Low,3,1
CL6,Unexposed,Low,27,0
CL7,Unexposed,Low,3,1
CL8,Unexposed,Low,27,0
CL9,Unexposed,Low,9,1
CL10,Unexposed,Low,27,0
CL11,Unexposed,Low,27,0
CL12,Unexposed,Low,27,0
CL13,Unexposed,Low,1,1
CL14,Unexposed,Low,3,1
CL15,Unexposed,Low,27,0
CL16,Unexposed,Low,9,1
CL17,Unexposed,Low,27,0
CL18,Unexposed,Low,27,0
CL19,Unexposed,Low,5,1
CL20,Unexposed,Low,27,0
CL21,Unexposed,Low,27,0
CL22,Unexposed,Low,23,1
CL23,Unexposed,Low,1,1
CL24,Unexposed,Low,27,1
CL25,Unexposed,Low,20,1
CL27,Unexposed,Low,27,0
CL28,Unexposed,Low,6,1
CL29,Unexposed,Low,5,1
CL30,Unexposed,Low,27,0
CL31,Unexposed,Low,27,0
CL32,Unexposed,Low,27,0
CL33,Unexposed,Low,27,1
CL35,Unexposed,Low,27,0
CL36,Unexposed,Low,27,0
CL37,Unexposed,Low,27,0
CL38,Unexposed,Low,3,1
CL40,Unexposed,Low,27,0
CL41,Unexposed,Low,27,0
CL42,Unexposed,Low,9,1
CL45,Unexposed,Low,5,1
CL46,Unexposed,Low,5,1
CL47,Unexposed,Low,27,0
CL49,Unexposed,Low,20,1
CL50,Unexposed,Low,27,0
CM1,Unexposed,Medium,6,1
CM2,Unexposed,Medium,27,1
CM3,Unexposed,Medium,27,0
CM4,Unexposed,Medium,6,1
CM5,Unexposed,Medium,27,0
CM6,Unexposed,Medium,23,1
CM7,Unexposed,Medium,27,0
CM8,Unexposed,Medium,3,1
CM9,Unexposed,Medium,1,1
CM10,Unexposed,Medium,23,1
CM11,Unexposed,Medium,19,1
CM12,Unexposed,Medium,23,1
CM13,Unexposed,Medium,19,1
CM14,Unexposed,Medium,27,0
CM15,Unexposed,Medium,6,1
CM16,Unexposed,Medium,3,1
CM17,Unexposed,Medium,27,0
CM18,Unexposed,Medium,27,1
CM19,Unexposed,Medium,23,1
CM20,Unexposed,Medium,27,0
CM21,Unexposed,Medium,27,1
CM22,Unexposed,Medium,16,1
CM23,Unexposed,Medium,5,1
CM24,Unexposed,Medium,27,0
CM25,Unexposed,Medium,23,1
CM26,Unexposed,Medium,5,1
CM27,Unexposed,Medium,6,1
CM28,Unexposed,Medium,27,1
CM29,Unexposed,Medium,27,1
CM30,Unexposed,Medium,1,1
CM31,Unexposed,Medium,19,1
CM32,Unexposed,Medium,3,1
CM33,Unexposed,Medium,3,1
CM34,Unexposed,Medium,27,0
CM35,Unexposed,Medium,6,1
CM36,Unexposed,Medium,9,1
CM37,Unexposed,Medium,27,0
CM38,Unexposed,Medium,27,0
CM39,Unexposed,Medium,27,0
CM40,Unexposed,Medium,27,0
CM41,Unexposed,Medium,3,1
CM42,Unexposed,Medium,27,0
CM43,Unexposed,Medium,19,1
CM44,Unexposed,Medium,23,1
CM45,Unexposed,Medium,27,0
CM46,Unexposed,Medium,3,1
CM47,Unexposed,Medium,23,1
CM48,Unexposed,Medium,16,1
CM49,Unexposed,Medium,3,1
CM50,Unexposed,Medium,20,1
CH2,Unexposed,High,3,1
CH3,Unexposed,High,5,1
CH4,Unexposed,High,3,1
CH5,Unexposed,High,27,0
CH6,Unexposed,High,27,0
CH7,Unexposed,High,3,1
CH8,Unexposed,High,3,1
CH9,Unexposed,High,27,0
CH10,Unexposed,High,12,1
CH11,Unexposed,High,1,1
CH12,Unexposed,High,27,0
CH13,Unexposed,High,27,0
CH14,Unexposed,High,14,1
CH15,Unexposed,High,27,0
CH16,Unexposed,High,27,0
CH17,Unexposed,High,27,0
CH18,Unexposed,High,27,0
CH19,Unexposed,High,27,0
CH20,Unexposed,High,27,0
CH21,Unexposed,High,27,0
CH22,Unexposed,High,27,0
CH23,Unexposed,High,3,1
CH24,Unexposed,High,27,0
CH25,Unexposed,High,27,0
CH26,Unexposed,High,27,0
CH27,Unexposed,High,27,0
CH28,Unexposed,High,27,0
CH29,Unexposed,High,27,0
CH30,Unexposed,High,27,0
CH31,Unexposed,High,27,0
CH32,Unexposed,High,27,0
CH33,Unexposed,High,27,0
CH34,Unexposed,High,5,1
CH35,Unexposed,High,5,1
CH36,Unexposed,High,27,0
CH37,Unexposed,High,27,0
CH38,Unexposed,High,5,1
CH39,Unexposed,High,27,0
CH40,Unexposed,High,12,1
CH41,Unexposed,High,5,1
CH42,Unexposed,High,27,0
CH43,Unexposed,High,27,0
CH44,Unexposed,High,27,0
CH45,Unexposed,High,27,0
CH47,Unexposed,High,1,1
CH49,Unexposed,High,27,0
CH50,Unexposed,High,27,0
ML1,Ordospora,Low,1,1
ML2,Ordospora,Low,3,1
ML3,Ordospora,Low,3,1
ML4,Ordospora,Low,23,1
ML5,Ordospora,Low,27,1
ML6,Ordospora,Low,23,1
ML7,Ordospora,Low,23,1
ML8,Ordospora,Low,9,1
ML9,Ordospora,Low,27,0
ML10,Ordospora,Low,27,1
ML11,Ordospora,Low,3,1
ML12,Ordospora,Low,13,1
ML13,Ordospora,Low,1,1
ML14,Ordospora,Low,27,1
ML15,Ordospora,Low,1,1
ML16,Ordospora,Low,27,0
ML17,Ordospora,Low,19,1
ML18,Ordospora,Low,6,1
ML19,Ordospora,Low,12,1
ML20,Ordospora,Low,23,1
ML21,Ordospora,Low,1,1
ML22,Ordospora,Low,23,1
ML23,Ordospora,Low,6,1
ML24,Ordospora,Low,6,1
ML25,Ordospora,Low,23,1
ML26,Ordospora,Low,6,1
ML28,Ordospora,Low,3,1
ML29,Ordospora,Low,5,1
ML30,Ordospora,Low,27,1
ML31,Ordospora,Low,27,0
ML34,Ordospora,Low,27,0
ML37,Ordospora,Low,23,1
ML38,Ordospora,Low,19,1
ML39,Ordospora,Low,3,1
ML40,Ordospora,Low,23,1
ML41,Ordospora,Low,6,1
ML43,Ordospora,Low,5,1
ML44,Ordospora,Low,9,1
ML45,Ordospora,Low,5,1
ML46,Ordospora,Low,23,1
ML49,Ordospora,Low,5,1
ML50,Ordospora,Low,27,0
MM1,Ordospora,Medium,27,0
MM2,Ordospora,Medium,27,1
MM3,Ordospora,Medium,3,1
MM4,Ordospora,Medium,9,1
MM5,Ordospora,Medium,23,1
MM6,Ordospora,Medium,27,0
MM7,Ordospora,Medium,6,1
MM8,Ordospora,Medium,6,1
MM9,Ordospora,Medium,5,1
MM10,Ordospora,Medium,19,1
MM11,Ordospora,Medium,29,1
MM12,Ordospora,Medium,19,1
MM13,Ordospora,Medium,27,1
MM14,Ordospora,Medium,1,1
MM15,Ordospora,Medium,5,1
MM16,Ordospora,Medium,9,1
MM17,Ordospora,Medium,3,1
MM18,Ordospora,Medium,3,1
MM19,Ordospora,Medium,27,1
MM20,Ordospora,Medium,5,1
MM21,Ordospora,Medium,3,1
MM22,Ordospora,Medium,5,1
MM23,Ordospora,Medium,1,1
MM24,Ordospora,Medium,20,1
MM25,Ordospora,Medium,3,1
MM26,Ordospora,Medium,5,1
MM27,Ordospora,Medium,23,1
MM28,Ordospora,Medium,6,1
MM29,Ordospora,Medium,27,0
MM30,Ordospora,Medium,19,1
MM31,Ordospora,Medium,3,1
MM32,Ordospora,Medium,3,1
MM33,Ordospora,Medium,27,1
MM34,Ordospora,Medium,3,1
MM35,Ordospora,Medium,9,1
MM36,Ordospora,Medium,5,1
MM37,Ordospora,Medium,9,1
MM38,Ordospora,Medium,3,1
MM39,Ordospora,Medium,27,0
MM40,Ordospora,Medium,3,1
MM41,Ordospora,Medium,3,1
MM42,Ordospora,Medium,9,1
MM43,Ordospora,Medium,1,1
MM44,Ordospora,Medium,23,1
MM45,Ordospora,Medium,5,1
MM46,Ordospora,Medium,23,1
MM47,Ordospora,Medium,29,1
MM48,Ordospora,Medium,19,1
MM49,Ordospora,Medium,19,1
MM50,Ordospora,Medium,6,1
MH1,Ordospora,High,27,0
MH2,Ordospora,High,27,0
MH3,Ordospora,High,27,0
MH4,Ordospora,High,27,0
MH5,Ordospora,High,3,1
MH6,Ordospora,High,27,0
MH7,Ordospora,High,27,0
MH8,Ordospora,High,27,0
MH9,Ordospora,High,27,0
MH10,Ordospora,High,27,0
MH11,Ordospora,High,27,0
MH12,Ordospora,High,27,0
MH13,Ordospora,High,27,0
MH14,Ordospora,High,27,0
MH15,Ordospora,High,27,0
MH16,Ordospora,High,27,0
MH17,Ordospora,High,1,1
MH18,Ordospora,High,27,0
MH19,Ordospora,High,27,0
MH20,Ordospora,High,27,0
MH21,Ordospora,High,27,0
MH22,Ordospora,High,27,1
MH23,Ordospora,High,27,0
MH24,Ordospora,High,27,0
MH25,Ordospora,High,3,1
MH26,Ordospora,High,27,0
MH27,Ordospora,High,27,0
MH28,Ordospora,High,27,0
MH29,Ordospora,High,27,0
MH30,Ordospora,High,27,0
MH31,Ordospora,High,27,0
MH32,Ordospora,High,27,0
MH33,Ordospora,High,27,0
MH34,Ordospora,High,3,1
MH35,Ordospora,High,3,1
MH36,Ordospora,High,27,0
MH37,Ordospora,High,3,1
MH38,Ordospora,High,3,1
MH39,Ordospora,High,1,1
MH40,Ordospora,High,3,1
MH41,Ordospora,High,27,0
MH42,Ordospora,High,9,1
MH43,Ordospora,High,27,0
MH44,Ordospora,High,9,1
MH46,Ordospora,High,27,0
MH48,Ordospora,High,27,0
MH49,Ordospora,High,27,0
MH50,Ordospora,High,9,1
